,Chademo_total,Chademo_available,Chademo_occupied,Chademo_reserved,Chademo_unknown,Chademo_out_of_service,IEC62196Type2CCS_total,IEC62196Type2CCS_available,IEC62196Type2CCS_occupied,IEC62196Type2CCS_reserved,IEC62196Type2CCS_unknown,IEC62196Type2CCS_out_of_service,Total_total,Total_available,Total_occupied,Total_reserved,Total_unknown,Total_out_of_service,chargingAvailability,IEC62196Type2CableAttached_total,IEC62196Type2CableAttached_available,IEC62196Type2CableAttached_occupied,IEC62196Type2CableAttached_reserved,IEC62196Type2CableAttached_unknown,IEC62196Type2CableAttached_out_of_service,IEC62196Type2Outlet_total,IEC62196Type2Outlet_available,IEC62196Type2Outlet_occupied,IEC62196Type2Outlet_reserved,IEC62196Type2Outlet_unknown,IEC62196Type2Outlet_out_of_service,IEC62196Type1CCS_total,IEC62196Type1CCS_available,IEC62196Type1CCS_occupied,IEC62196Type1CCS_reserved,IEC62196Type1CCS_unknown,IEC62196Type1CCS_out_of_service
0,2.0,1.0,1.0,0.0,0.0,0.0,4.0,3.0,1.0,0.0,0.0,0.0,6,4,2,0,0,0,528009010070455,,,,,,,,,,,,,,,,,,
1,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2,2,0,0,0,0,528009010056119,,,,,,,,,,,,,,,,,,
2,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3,3,0,0,0,0,528009009095094,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
3,,,,,,,5.0,4.0,0.0,0.0,1.0,0.0,5,4,0,0,1,0,528009010072403,,,,,,,,,,,,,,,,,,
4,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3,1,2,0,0,0,528009009073612,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
5,3.0,1.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,5,2,0,0,3,0,528009010112505,,,,,,,,,,,,,,,,,,
6,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2,0,0,0,0,2,528009010055557,,,,,,,,,,,,,,,,,,
7,2.0,1.0,0.0,0.0,1.0,0.0,4.0,2.0,1.0,0.0,1.0,0.0,6,3,1,0,2,0,528009009083633,,,,,,,,,,,,,,,,,,
8,1.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,4,2,0,0,2,0,528009010056078,,,,,,,,,,,,,,,,,,
9,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3,1,1,0,1,0,528009010043239,1.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,
10,,,,,,,1.0,1.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,528009010104154,,,,,,,,,,,,,,,,,,
11,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2,1,1,0,0,0,528009010057386,,,,,,,,,,,,,,,,,,
12,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2,2,0,0,0,0,528009009101643,,,,,,,,,,,,,,,,,,
13,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2,2,0,0,0,0,528009010064276,,,,,,,,,,,,,,,,,,
14,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,4,4,0,0,0,0,528009010107118,,,,,,,,,,,,,,,,,,
15,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2,2,0,0,0,0,528009010103796,,,,,,,,,,,,,,,,,,
16,2.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,6,3,3,0,0,0,528009010104267,2.0,1.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,
17,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,4,4,0,0,0,0,528009010108681,,,,,,,,,,,,,,,,,,
18,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3,3,0,0,0,0,528009009095235,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
19,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,4,0,0,0,4,0,528009010111308,,,,,,,,,,,,,,,,,,
20,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2,2,0,0,0,0,528009002428653,,,,,,,,,,,,,,,,,,
21,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3,2,0,0,1,0,528009010104770,1.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,
22,,,,,,,,,,,,,2,2,0,0,0,0,528009010072432,,,,,,,2.0,2.0,0.0,0.0,0.0,0.0,,,,,,
23,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2,2,0,0,0,0,528009010068457,,,,,,,,,,,,,,,,,,
24,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,6,0,0,0,6,0,528009009094555,2.0,0.0,0.0,0.0,2.0,0.0,,,,,,,,,,,,
25,2.0,2.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,6,6,0,0,0,0,528009010111862,,,,,,,,,,,,,,,,,,
26,8.0,8.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,16,16,0,0,0,0,528009010108949,,,,,,,,,,,,,,,,,,
27,,,,,,,1.0,1.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,528009010055668,,,,,,,,,,,,,,,,,,
28,3.0,0.0,1.0,0.0,2.0,0.0,6.0,3.0,1.0,0.0,2.0,0.0,11,3,2,0,6,0,528009010106710,2.0,0.0,0.0,0.0,2.0,0.0,,,,,,,,,,,,
29,1.0,1.0,0.0,0.0,0.0,0.0,8.0,7.0,1.0,0.0,0.0,0.0,9,8,1,0,0,0,528009010112033,,,,,,,,,,,,,,,,,,
30,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3,2,0,0,1,0,528009010044927,1.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,
31,,,,,,,2.0,2.0,0.0,0.0,0.0,0.0,2,2,0,0,0,0,528009010068285,,,,,,,,,,,,,,,,,,
32,4.0,4.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,8,8,0,0,0,0,528009010105759,,,,,,,,,,,,,,,,,,
33,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3,1,1,0,1,0,528009010044283,1.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,
34,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,4,4,0,0,0,0,528009010106188,,,,,,,,,,,,,,,,,,
35,4.0,4.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,8,8,0,0,0,0,528009010112061,,,,,,,,,,,,,,,,,,
36,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,1,1,0,0,0,0,528009010042575,,,,,,,,,,,,,,,,,,
