,name,lat,lon,connectorTypes,chargingAvailability
0,Fastned 's-Heer Arendskerke,51.48428,3.85103,"['IEC62196Type2CCS', 'Chademo', 'IEC62196Type2CCS']",528009010070455
1,PARKnCHARGE Terneuzen Kennedylaan,51.33369,3.82499,"['IEC62196Type2CCS', 'Chademo']",528009010056119
2,Allego Burgh-Haamstede Daleboutsweg,51.68585,3.72814,"['IEC62196Type2Outlet', 'IEC62196Type2CCS', 'IEC62196Type2CableAttached', 'Chademo']",528009009095094
3,AVIA Rilland De Poort,51.42273,4.19137,"['IEC62196Type2Outlet', 'IEC62196Type2CCS', 'IEC62196Type2CCS']",528009010072403
4,Kruiningen Weihoek,51.46201,4.03109,['IEC62196Type2CCS'],
5,Tesla Middelburg Paukenweg,51.48027,3.63649,"['IEC62196Type2CCS', 'Tesla']",
6,'s-Heer Arendskerke Rijksweg,51.48495,3.84876,"['IEC62196Type2CCS', 'Chademo']",
7,Allego Middelburg Paukenweg,51.48009,3.63681,"['IEC62196Type2Outlet', 'IEC62196Type2CableAttached', 'IEC62196Type2CCS', 'Chademo']",528009009073612
8,Shell Recharge Goes Amundsenweg,51.48651,3.8747,"['IEC62196Type2Outlet', 'IEC62196Type2CCS', 'Chademo']",528009010112505
9,Ecotap Goes Hudsonweg,51.48313,3.89476,"['IEC62196Type2Outlet', 'IEC62196Type2CableAttached', 'IEC62196Type2CCS']",
10,PARKnCHARGE Terneuzen Guido Gezellestraat,51.30589,3.85508,"['IEC62196Type2CCS', 'Chademo']",528009010055557
11,Tholen Schietbaan,51.53648,4.22546,"['IEC62196Type2CCS', 'Chademo']",
12,Fastned 's-Heer Arendskerke Rijksweg,51.49877,3.77214,"['Chademo', 'IEC62196Type2CCS', 'IEC62196Type2CCS']",528009009083633
13,Ecotap Den Bommel Langeweg,51.69807,4.29308,"['IEC62196Type2CCS', 'Chademo']",528009010056078
14,InCharge Middelburg Bosschaartsweg,51.48276,3.62497,"['IEC62196Type2CableAttached', 'IEC62196Type2CCS', 'Chademo']",528009010043239
15,Krabbendijke Vliete,51.42281,4.09665,['IEC62196Type2CCS'],528009010104154
16,Shell Recharge Nieuw- en Sint Joosland Rijksweg A58,51.49654,3.67779,"['IEC62196Type2CCS', 'Chademo']",
17,PARKnCHARGE Yerseke Kreeft,51.48126,4.0519,"['IEC62196Type2CCS', 'Chademo']",528009010057386
18,Ecotap Zierikzee Ruigendijkweg,51.64137,3.9367,"['IEC62196Type2CCS', 'Chademo']",
19,PARKnCHARGE Oude-Tonge Tonisseweg,51.70046,4.20306,"['IEC62196Type2CCS', 'Chademo']",528009009101643
20,'s-Heer Arendskerke Rijksweg,51.49842,3.77217,"['Chademo', 'IEC62196Type2CCS']",528009010064276
21,TotalEnergies 's-Heer Arendskerke Rijksweg,51.48462,3.84995,"['IEC62196Type2CCS', 'Chademo']",528009010107118
22,Ecotap Terneuzen Stationsweg,51.33118,3.82674,"['IEC62196Type2Outlet', 'IEC62196Type2CCS', 'Chademo']",
23,E-Flux Hoek van Holland Prins Hendrikweg,51.97178,4.14216,"['IEC62196Type2Outlet', 'IEC62196Type2CCS', 'Chademo']",528009010103796
24,Fastned Vierpolders Coosenhoek,51.87058,4.18041,"['IEC62196Type2CableAttached', 'IEC62196Type2CCS', 'Chademo']",528009010104267
25,Shell Recharge Den Haag Professor B.M. Teldersweg,52.09639,4.28692,"['IEC62196Type2CCS', 'Chademo']",528009010108681
26,Allego Hellevoetsluis Struytse Hoeck,51.83244,4.14724,"['IEC62196Type2CCS', 'IEC62196Type2CableAttached', 'Chademo']",528009009095235
27,Shell Recharge Rijswijk Schaapweg,52.04257,4.29397,"['Chademo', 'IEC62196Type2CCS']",528009010111308
28,Honselersdijk Middel Broekweg,51.99881,4.23006,['IEC62196Type2CCS'],
29,PARKnCHARGE Spijkenisse Boyleweg,51.85465,4.30306,"['IEC62196Type2Outlet', 'IEC62196Type2CCS', 'IEC62196Type2CableAttached', 'Chademo']",528009002428653
30,Naaldwijk Klompenmakerstraat,52.00269,4.21425,"['IEC62196Type2Outlet', 'IEC62196Type2CCS', 'Chademo']",
31,Den Haag Kerketuinenweg,52.05223,4.25624,"['IEC62196Type2CCS', 'Chademo']",
32,InCharge Den Haag De Werf,52.04334,4.24255,"['IEC62196Type2CableAttached', 'IEC62196Type2CCS', 'Chademo']",528009010104770
33,ENGIE Naaldwijk Vallumstraat,51.98632,4.2164,['IEC62196Type2Outlet'],528009010072432
34,Allego Rijswijk Schaapweg,52.04257,4.29397,"['IEC62196Type2CCS', 'Chademo']",
35,TotalEnergies Den Haag Laan van Meerdervoort,52.06189,4.22741,"['Chademo', 'IEC62196Type2CableAttached', 'IEC62196Type2CCS']",
36,Europoort Europaweg,51.91362,4.18985,"['IEC62196Type2CCS', 'Chademo']",528009010068457
37,Fastned Vierpolders Tussenhoek,51.87024,4.18238,"['IEC62196Type2CableAttached', 'IEC62196Type2CCS', 'Chademo']",528009009094555
38,Fastned Zevenbergschen Hoek Voogdeweg,51.66239,4.67811,"['IEC62196Type2CCS', 'Chademo', 'IEC62196Type2CCS', 'IEC62196Type2CableAttached', 'Chademo']",528009010111862
39,Tesla Oosterhout Beneluxweg,51.62657,4.86987,"['Tesla', 'IEC62196Type2CCS']",
40,Shell Recharge Gilze E312,51.55459,4.91284,"['IEC62196Type2CCS', 'IEC62196Type2CCS', 'Chademo']",528009010108949
41,E-Flux Bladel De Vroent,51.32457,5.22485,"['IEC62196Type2Outlet', 'Chademo', 'IEC62196Type2CCS', 'IEC62196Type2CCS']",528009010055668
42,Fastned Dordrecht Rijksweg 16,51.7341,4.63208,"['IEC62196Type2CableAttached', 'IEC62196Type2CCS', 'IEC62196Type2CCS', 'Chademo', 'Chademo']",528009010106710
43,Fastned Zegge,51.54883,4.52921,"['IEC62196Type2CCS', 'IEC62196Type2CCS', 'IEC62196Type2CableAttached', 'Chademo']",528009010112033
44,InCharge Roosendaal Takspui,51.53519,4.48533,"['IEC62196Type2CCS', 'IEC62196Type2CableAttached', 'Chademo']",528009010044927
45,Shell Recharge Breda Spinveld,51.59946,4.75251,['Chademo'],
46,PARKnCHARGE Tilburg Goirleseweg,51.54294,5.06693,"['IEC62196Type2Outlet', 'IEC62196Type2Outlet', 'IEC62196Type2CCS']",528009010068285
47,Fastned Bladel De Vroent,51.32407,5.2229,['Chademo'],
48,Shell Recharge Sprang-Capelle Maasroute,51.69442,5.00853,"['IEC62196Type2CCS', 'Chademo', 'IEC62196Type2CCS']",528009010105759
49,InCharge Breda Kruisvoort,51.58238,4.73049,"['IEC62196Type2CCS', 'IEC62196Type2CableAttached', 'Chademo']",528009010044283
50,Fastned Tilburg Jan Heijnsstraat,51.56229,5.07522,"['IEC62196Type2CCS', 'Chademo']",528009010106188
51,Shell Recharge Numansdorp Rijksweg A29,51.73667,4.41057,"['IEC62196Type2CCS', 'IEC62196Type2CCS', 'Chademo']",528009010112061
52,Loon op Zand De Hoogt,51.62798,5.06672,"['IEC62196Type2Outlet', 'IEC62196Type2CCS']",
53,Shell Recharge Tilburg Burgemeester Letschertweg,51.57904,4.97313,['Chademo'],528009010042575
54,Fastned Rucphen,51.5477,4.53037,"['IEC62196Type2CCS', 'IEC62196Type2CCS', 'IEC62196Type2CableAttached', 'Chademo']",528009010105588
55,Fastned Oud Gastel Holstraat,51.59665,4.49547,"['IEC62196Type2CCS', 'Chademo']",528009010068827
56,PARKnCHARGE Tilburg Dokter Bloemenlaan,51.54446,5.11004,"['IEC62196Type2CCS', 'IEC62196Type2CCS']",
57,Shell Recharge Sprang-Capelle,51.69413,5.01864,"['IEC62196Type2CCS', 'Chademo']",528009010108332
58,Tesla Breda Princenhagelaan,51.57652,4.72977,"['Tesla', 'IEC62196Type2CCS']",
59,Tilburg Kraaivenstraat,51.58537,5.06705,"['IEC62196Type2Outlet', 'Chademo', 'IEC62196Type2CCS', 'Chademo']",
60,Fastned Breda Hazeldonk,51.50017,4.74086,"['IEC62196Type2CCS', 'IEC62196Type2CCS', 'IEC62196Type2CableAttached', 'Chademo']",528009010112247
61,InCharge Tilburg Mina Krusemanweg,51.53774,5.04116,"['IEC62196Type2CCS', 'IEC62196Type2CableAttached', 'Chademo']",528009010046018
62,Shell Recharge Dordrecht Rijksweg 16,51.73459,4.63258,"['IEC62196Type2CCS', 'Chademo']",528009010104699
63,Fastned Zevenbergschen Hoek Rijksweg A16,51.69065,4.65759,"['IEC62196Type2CCS', 'IEC62196Type2CCS', 'Chademo', 'IEC62196Type2CableAttached', 'Chademo']",528009009086385
