,chargingAvailability,variable,value,name,lat,lon
0,528009010070455.0,2023-05-12 09:01:00,1,Fastned 's-Heer Arendskerke,51.48428,3.85103
1,528009010070455.0,2023-05-12 13:00:00,5,Fastned 's-Heer Arendskerke,51.48428,3.85103
2,528009010070455.0,2023-05-12 11:00:00,5,Fastned 's-Heer Arendskerke,51.48428,3.85103
3,528009010070455.0,2023-05-12 14:00:00,6,Fastned 's-Heer Arendskerke,51.48428,3.85103
4,528009010070455.0,2023-05-12 08:00:00,1,Fastned 's-Heer Arendskerke,51.48428,3.85103
5,528009010070455.0,2023-05-12 12:00:00,3,Fastned 's-Heer Arendskerke,51.48428,3.85103
6,528009010070455.0,2023-05-12 10:00:00,2,Fastned 's-Heer Arendskerke,51.48428,3.85103
7,528009010056119.0,2023-05-12 09:01:00,0,PARKnCHARGE Terneuzen Kennedylaan,51.33369,3.82499
8,528009010056119.0,2023-05-12 13:00:00,0,PARKnCHARGE Terneuzen Kennedylaan,51.33369,3.82499
9,528009010056119.0,2023-05-12 11:00:00,0,PARKnCHARGE Terneuzen Kennedylaan,51.33369,3.82499
10,528009010056119.0,2023-05-12 14:00:00,0,PARKnCHARGE Terneuzen Kennedylaan,51.33369,3.82499
11,528009010056119.0,2023-05-12 08:00:00,0,PARKnCHARGE Terneuzen Kennedylaan,51.33369,3.82499
12,528009010056119.0,2023-05-12 12:00:00,0,PARKnCHARGE Terneuzen Kennedylaan,51.33369,3.82499
13,528009010056119.0,2023-05-12 10:00:00,0,PARKnCHARGE Terneuzen Kennedylaan,51.33369,3.82499
14,528009009095094.0,2023-05-12 09:01:00,0,Allego Burgh-Haamstede Daleboutsweg,51.68585,3.72814
15,528009009095094.0,2023-05-12 13:00:00,0,Allego Burgh-Haamstede Daleboutsweg,51.68585,3.72814
16,528009009095094.0,2023-05-12 11:00:00,0,Allego Burgh-Haamstede Daleboutsweg,51.68585,3.72814
17,528009009095094.0,2023-05-12 14:00:00,0,Allego Burgh-Haamstede Daleboutsweg,51.68585,3.72814
18,528009009095094.0,2023-05-12 08:00:00,0,Allego Burgh-Haamstede Daleboutsweg,51.68585,3.72814
19,528009009095094.0,2023-05-12 12:00:00,0,Allego Burgh-Haamstede Daleboutsweg,51.68585,3.72814
20,528009009095094.0,2023-05-12 10:00:00,0,Allego Burgh-Haamstede Daleboutsweg,51.68585,3.72814
21,528009010072403.0,2023-05-12 09:01:00,0,AVIA Rilland De Poort,51.42273,4.19137
22,528009010072403.0,2023-05-12 13:00:00,0,AVIA Rilland De Poort,51.42273,4.19137
23,528009010072403.0,2023-05-12 11:00:00,1,AVIA Rilland De Poort,51.42273,4.19137
24,528009010072403.0,2023-05-12 14:00:00,0,AVIA Rilland De Poort,51.42273,4.19137
25,528009010072403.0,2023-05-12 08:00:00,0,AVIA Rilland De Poort,51.42273,4.19137
26,528009010072403.0,2023-05-12 12:00:00,0,AVIA Rilland De Poort,51.42273,4.19137
27,528009010072403.0,2023-05-12 10:00:00,0,AVIA Rilland De Poort,51.42273,4.19137
28,528009009073612.0,2023-05-12 09:01:00,2,Allego Middelburg Paukenweg,51.48009,3.63681
29,528009009073612.0,2023-05-12 13:00:00,2,Allego Middelburg Paukenweg,51.48009,3.63681
30,528009009073612.0,2023-05-12 11:00:00,2,Allego Middelburg Paukenweg,51.48009,3.63681
31,528009009073612.0,2023-05-12 14:00:00,2,Allego Middelburg Paukenweg,51.48009,3.63681
32,528009009073612.0,2023-05-12 08:00:00,2,Allego Middelburg Paukenweg,51.48009,3.63681
33,528009009073612.0,2023-05-12 12:00:00,2,Allego Middelburg Paukenweg,51.48009,3.63681
34,528009009073612.0,2023-05-12 10:00:00,2,Allego Middelburg Paukenweg,51.48009,3.63681
35,528009010112505.0,2023-05-12 09:01:00,0,Shell Recharge Goes Amundsenweg,51.48651,3.8747
36,528009010112505.0,2023-05-12 13:00:00,0,Shell Recharge Goes Amundsenweg,51.48651,3.8747
37,528009010112505.0,2023-05-12 11:00:00,0,Shell Recharge Goes Amundsenweg,51.48651,3.8747
38,528009010112505.0,2023-05-12 14:00:00,0,Shell Recharge Goes Amundsenweg,51.48651,3.8747
39,528009010112505.0,2023-05-12 08:00:00,0,Shell Recharge Goes Amundsenweg,51.48651,3.8747
40,528009010112505.0,2023-05-12 12:00:00,0,Shell Recharge Goes Amundsenweg,51.48651,3.8747
41,528009010112505.0,2023-05-12 10:00:00,0,Shell Recharge Goes Amundsenweg,51.48651,3.8747
42,528009010055557.0,2023-05-12 09:01:00,0,PARKnCHARGE Terneuzen Guido Gezellestraat,51.30589,3.85508
43,528009010055557.0,2023-05-12 13:00:00,0,PARKnCHARGE Terneuzen Guido Gezellestraat,51.30589,3.85508
44,528009010055557.0,2023-05-12 11:00:00,0,PARKnCHARGE Terneuzen Guido Gezellestraat,51.30589,3.85508
45,528009010055557.0,2023-05-12 14:00:00,0,PARKnCHARGE Terneuzen Guido Gezellestraat,51.30589,3.85508
46,528009010055557.0,2023-05-12 08:00:00,0,PARKnCHARGE Terneuzen Guido Gezellestraat,51.30589,3.85508
47,528009010055557.0,2023-05-12 12:00:00,0,PARKnCHARGE Terneuzen Guido Gezellestraat,51.30589,3.85508
48,528009010055557.0,2023-05-12 10:00:00,0,PARKnCHARGE Terneuzen Guido Gezellestraat,51.30589,3.85508
49,528009009083633.0,2023-05-12 09:01:00,1,Fastned 's-Heer Arendskerke Rijksweg,51.49877,3.77214
50,528009009083633.0,2023-05-12 13:00:00,0,Fastned 's-Heer Arendskerke Rijksweg,51.49877,3.77214
51,528009009083633.0,2023-05-12 11:00:00,1,Fastned 's-Heer Arendskerke Rijksweg,51.49877,3.77214
52,528009009083633.0,2023-05-12 14:00:00,0,Fastned 's-Heer Arendskerke Rijksweg,51.49877,3.77214
53,528009009083633.0,2023-05-12 08:00:00,0,Fastned 's-Heer Arendskerke Rijksweg,51.49877,3.77214
54,528009009083633.0,2023-05-12 12:00:00,0,Fastned 's-Heer Arendskerke Rijksweg,51.49877,3.77214
55,528009009083633.0,2023-05-12 10:00:00,1,Fastned 's-Heer Arendskerke Rijksweg,51.49877,3.77214
56,528009010056078.0,2023-05-12 09:01:00,0,Ecotap Den Bommel Langeweg,51.69807,4.29308
57,528009010056078.0,2023-05-12 13:00:00,0,Ecotap Den Bommel Langeweg,51.69807,4.29308
58,528009010056078.0,2023-05-12 11:00:00,1,Ecotap Den Bommel Langeweg,51.69807,4.29308
59,528009010056078.0,2023-05-12 14:00:00,0,Ecotap Den Bommel Langeweg,51.69807,4.29308
60,528009010056078.0,2023-05-12 08:00:00,0,Ecotap Den Bommel Langeweg,51.69807,4.29308
61,528009010056078.0,2023-05-12 12:00:00,0,Ecotap Den Bommel Langeweg,51.69807,4.29308
62,528009010056078.0,2023-05-12 10:00:00,0,Ecotap Den Bommel Langeweg,51.69807,4.29308
63,528009010043239.0,2023-05-12 09:01:00,1,InCharge Middelburg Bosschaartsweg,51.48276,3.62497
64,528009010043239.0,2023-05-12 13:00:00,1,InCharge Middelburg Bosschaartsweg,51.48276,3.62497
65,528009010043239.0,2023-05-12 11:00:00,0,InCharge Middelburg Bosschaartsweg,51.48276,3.62497
66,528009010043239.0,2023-05-12 14:00:00,1,InCharge Middelburg Bosschaartsweg,51.48276,3.62497
67,528009010043239.0,2023-05-12 08:00:00,1,InCharge Middelburg Bosschaartsweg,51.48276,3.62497
68,528009010043239.0,2023-05-12 12:00:00,0,InCharge Middelburg Bosschaartsweg,51.48276,3.62497
69,528009010043239.0,2023-05-12 10:00:00,1,InCharge Middelburg Bosschaartsweg,51.48276,3.62497
70,528009010104154.0,2023-05-12 09:01:00,0,Krabbendijke Vliete,51.42281,4.09665
71,528009010104154.0,2023-05-12 13:00:00,0,Krabbendijke Vliete,51.42281,4.09665
72,528009010104154.0,2023-05-12 11:00:00,0,Krabbendijke Vliete,51.42281,4.09665
73,528009010104154.0,2023-05-12 14:00:00,0,Krabbendijke Vliete,51.42281,4.09665
74,528009010104154.0,2023-05-12 08:00:00,0,Krabbendijke Vliete,51.42281,4.09665
75,528009010104154.0,2023-05-12 12:00:00,0,Krabbendijke Vliete,51.42281,4.09665
76,528009010104154.0,2023-05-12 10:00:00,0,Krabbendijke Vliete,51.42281,4.09665
77,528009010057386.0,2023-05-12 09:01:00,0,PARKnCHARGE Yerseke Kreeft,51.48126,4.0519
78,528009010057386.0,2023-05-12 13:00:00,0,PARKnCHARGE Yerseke Kreeft,51.48126,4.0519
79,528009010057386.0,2023-05-12 11:00:00,1,PARKnCHARGE Yerseke Kreeft,51.48126,4.0519
80,528009010057386.0,2023-05-12 14:00:00,0,PARKnCHARGE Yerseke Kreeft,51.48126,4.0519
81,528009010057386.0,2023-05-12 08:00:00,0,PARKnCHARGE Yerseke Kreeft,51.48126,4.0519
82,528009010057386.0,2023-05-12 12:00:00,0,PARKnCHARGE Yerseke Kreeft,51.48126,4.0519
83,528009010057386.0,2023-05-12 10:00:00,1,PARKnCHARGE Yerseke Kreeft,51.48126,4.0519
84,528009009101643.0,2023-05-12 09:01:00,0,PARKnCHARGE Oude-Tonge Tonisseweg,51.70046,4.20306
85,528009009101643.0,2023-05-12 13:00:00,0,PARKnCHARGE Oude-Tonge Tonisseweg,51.70046,4.20306
